Intercept_params,sex[T.Mujer]_params,t_loc[T.Urbano]_params,emp_ppal[T.informal]_params,emp_ppal[T.formal]_params,anios_esc_params,exp_params,np.square(exp)_params,R2,Fecha,Intercept_bse,sex[T.Mujer]_bse,t_loc[T.Urbano]_bse,emp_ppal[T.informal]_bse,emp_ppal[T.formal]_bse,anios_esc_bse,exp_bse,np.square(exp)_bse
1.291608624713018,-0.1427841713635486,0.2583117406907706,0.5501728339853869,0.7414357907276293,0.0825334198032461,0.0315847853369413,-0.00033576128136210084,0.27260384221258105,2005-01-01,0.007519938930354188,0.004406662287035251,0.006159282693470931,0.003826100114956117,0.004910064369019496,0.0005729748694124023,0.000494051334471869,6.899152991081567e-06
1.2925780600513592,-0.14042111454535156,0.2505202095372536,0.5498123379533937,0.7427657220979632,0.08284010160772583,0.031414223265451256,-0.00033738925734169267,0.2844742690885995,2005-04-01,0.007275641418541149,0.00422825572544079,0.005980303440847178,0.003696811852492077,0.004753497939952547,0.0005517801395542481,0.0004765990296175959,6.642702168772954e-06
1.3190385896623313,-0.15838539212320546,0.24975115405767584,0.5592900984726588,0.7597484911896705,0.0807671382229747,0.030640123328603296,-0.0003262966687180902,0.27233686544033564,2005-07-01,0.007362682453798894,0.004290604096379606,0.006082328805796419,0.0037426306325290745,0.004801438299399395,0.0005633835243467985,0.00047886760031928566,6.677365097777901e-06
1.3115590306939289,-0.1421108837455653,0.24099267758949708,0.5556197297016472,0.7559393009922808,0.08295416523685575,0.031193256566887644,-0.0003289091370053672,0.28560490084759005,2005-10-01,0.007135428444575414,0.004148224502954627,0.005911453273755929,0.0036198016278922397,0.004673925804129274,0.0005413717190331626,0.00046572212435897533,6.520276246059892e-06
1.3191153345829474,-0.12441090634946325,0.24829730721488574,0.5590385549263921,0.7600767796565551,0.08127524431452318,0.031111713904918407,-0.0003357775408262472,0.28242153625155897,2006-01-01,0.007160678426847166,0.0041578509918616755,0.005890046347280049,0.003624250380797515,0.004693832150720772,0.000546347064083516,0.0004659558265621819,6.507703660915483e-06
1.3661538161699502,-0.12594648497454586,0.2396003701843769,0.5811818621549327,0.7849719540150175,0.08085282036180003,0.03007513139496855,-0.00032524504182092963,0.2753218125926671,2006-04-01,0.007210925698702611,0.004203210579052388,0.005958804335293031,0.0036585005801990163,0.004723932861235731,0.0005516306234219721,0.0004707408499880034,6.584883967284208e-06
1.3581231770909494,-0.1368926866522172,0.24305742297301106,0.5847581257404646,0.773365051350484,0.07987307049790547,0.02971128055446111,-0.00031437464133525766,0.26678055710597337,2006-07-01,0.007186467044846899,0.004200453407451102,0.005969773649618091,0.0036549360371020217,0.004704547481954116,0.0005569218865812405,0.0004664853251231231,6.538516303760294e-06
1.34923261064903,-0.12334448202625191,0.22897491281165364,0.579826297381833,0.7694063132671967,0.08190084166917647,0.030031800144785396,-0.00031858843850892315,0.2767795209893005,2006-10-01,0.00710208346062506,0.004157363413532989,0.00588766029449836,0.0036116914702971057,0.004667874795319984,0.0005477089123585969,0.00046536721129119055,6.547942435086182e-06
1.3794750639673494,-0.12567518339498698,0.24444151021381522,0.5927079883308372,0.7867670756365146,0.07927064854764179,0.028667447664675178,-0.0003036557400071651,0.26933958416521886,2007-01-01,0.007182341035449185,0.004182305803375064,0.0059054481718721795,0.0036477798415051757,0.004713311064575172,0.00055469436015125,0.000468555801327731,6.580421792112902e-06
1.402919931661058,-0.13698996908549055,0.2345546754657441,0.6050432989570653,0.7978766327039917,0.07898115062979477,0.028965303336471637,-0.0003095431215421955,0.2657833546362619,2007-04-01,0.007184179265171918,0.004168866278348133,0.005915778414917128,0.003645471892901988,0.004705780378106741,0.0005520884991915139,0.00047064905948685664,6.633191740884077e-06
1.3949124776244177,-0.13153281091962066,0.24852422185130918,0.6067552343038545,0.7881572433205636,0.07699965567033877,0.028792930816009057,-0.0003166294278835452,0.2579329106048177,2007-07-01,0.007199875072678687,0.004198194181970194,0.005967202248628571,0.003659795742273974,0.004714988913758647,0.0005607272495397518,0.00046881567212461196,6.621788909999714e-06
1.3876177305290975,-0.12043501521208473,0.2361940372604076,0.6028315976260561,0.7847861329030401,0.08001647606669912,0.027851144438149195,-0.0002970958020960766,0.26544219717092865,2007-10-01,0.007145535427406168,0.004177981735755405,0.005932810526574883,0.003618283326647852,0.00471525857070081,0.0005584888780214972,0.0004633623914903917,6.5446903223621325e-06
1.3940685272297653,-0.12836607965437827,0.2537198731707915,0.6030419496477669,0.791026577581999,0.07911620607814816,0.028325339968218344,-0.0003047131890220363,0.25964596979054677,2008-01-01,0.0073675196696882305,0.004301868355099734,0.00602426855243644,0.0037335478844308673,0.004844920277301341,0.0005772128910010642,0.00047972059695613713,6.767073255867696e-06
1.3988445014770263,-0.13268886114237116,0.22720607141139673,0.6089938525757334,0.7898506489012949,0.07886745942929761,0.028678807932484538,-0.0003094691410975244,0.2638547434361693,2008-04-01,0.0071139290475573155,0.004128348118495543,0.005835186080635957,0.0035809844617931802,0.0046956846236595375,0.0005540234744521265,0.00046138385995854193,6.504150384392068e-06
1.3974055367702154,-0.13257206776271618,0.22581274232814913,0.6141102298886457,0.7832953068815682,0.07713359154309307,0.027995472717211346,-0.0002970688275985905,0.24849495794891718,2008-07-01,0.0072361113447284445,0.004213254659246026,0.0059639164591220135,0.0036598397064226745,0.004757405457107506,0.000569611428125791,0.00046611616114177606,6.5620673105921e-06
